非洲	Afrika
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi (provins)
Komi Khiung-fò-koet	Komi (delrepublik)
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Sumatera Utara
Syktyvkar	Syktyvkar
Québec-sṳ	Québec (stad)
Nenets Chhṳ-chhṳ-khî	Nentsien
Liàu-nui-sén	Riau
Leningrad-chû	Leningrad oblast
Pskov-chû	Pskov oblast
Liàu-nui Khiùn-tó-sén	Kepulauan Riau
Nizhny Novgorod-chû	Nizjnij Novgorod oblast
Nàm Sû-mùn-tap-lia̍p-sén	Sumatera Selatan
Lò-mâ Ti-koet	Romerska kejsardömet
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Tver oblast
Khù-lû-fû	Kurów
Fa-ho̍k	Kemi
Smolensk-chû	Smolensk oblast
Yaroslavl-chû	Jaroslavl oblast
Kostroma-chû	Kostroma oblast
Ivanovo-chû	Ivanovo oblast
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Fotboll
Ryazan-chû	Rjazan oblast
IPhone	Iphone
Sî Sû-mùn-tap-lia̍p-sén	Sumatera Barat
Tula-chû	Tula oblast
IPad	Ipad
Mâ-tet-lî	Madrid
Bryansk-chû	Brjansk oblast
Michael Jackson	Michael Jackson
Kaluga-chû	Kaluga oblast
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain
Allier-sén	Allier (departement)
Khâm-phì-là	Canberra
Sông Alpes-sén	Hautes-Alpes
Oryol-chû	Orjol oblast
Sit-nì	Sydney
Alpes-de-Haute-Provence-sén	Alpes-de-Haute-Provence
Liu̍k-set	Grön
Alpes-Maritimes-sén	Alpes-Maritimes
Hâ-tet-sùn-hò	Hudsonfloden
Me̍t-ngì-pún	Melbourne
Fùng-set	Röd
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Kursk oblast
Ariège-sén	Ariège
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	New South Wales
Bouches-du-Rhône-sén	Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Australian Capital Territory
Cantal-sén	Cantal
Belgorod-chû	Belgorod oblast
Côte-d'Or-sén	Côte-d’Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finistère
Voronezh-chû	Voronezj oblast
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Lipetsk oblast
Van-tan-sén	Banten
Chûng Cháu-ôa-sén	Jawa Tengah
Fùi-sên	Komet
Rostov-chû	Rostov oblast
Tûng Cháu-ôa-sén	Jawa Timur
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jakarta
Sî Cháu-ôa-sén	Jawa Barat
Adygea Khiung-fò-koet	Adygeiska republiken
Ngit-ngiâ Thi-fông Thi̍t-khî	Yogyakarta (region)
Gera	Gera (stad)
Maykop	Majkop
Cháu-ôa-tó	Java
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Små Sundaöarna
Sû-lâ-vî-sî-tó	Sulawesi
Mô-lu̍k-kâ Khiùn-tó	Moluckerna
Chûng Kâ-lî-man-tân-sén	Kalimantan Tengah
Tûng Kâ-lî-man-tân-sén	Kalimantan Timur
Nàm Kâ-lî-man-tân-sén	Kalimantan Selatan
Kâ-li-sî-â	Galicien
Sî Kâ-lî-man-tân-sén	Kalimantan Barat
Thai-ho̍k	Universitet
Pretoria	Pretoria
Chok-khiù	Bordtennis
Â-sṳ̂-thù-lî-â-sṳ̂	Asturien
Wikipedia:Sandbox	Wikipedia:Sandlådan
Astrakhan-chû	Astrachan oblast
Kham-thap-pu-lî-â	Kantabrien
Kalmykia Khiung-fò-koet	Kalmuckien
Weimar	Weimar
Osasco	Osasco
Â-là-kung	Aragonien
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Dong Hoi flygplats
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Kategori:Taiwans historia
Curitiba	Curitiba
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Konfucius
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Kategori:Matematik
分類:Ngìn-kûng ngî-ngièn	Kategori:Konstgjorda språk
Pâ-lî-sén	Bali
Mî-kîm	Amerikansk dollar
Thi-chûng-hói	Medelhavet
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Kristendom
Tûng Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Timur
Sî Nú-sâ Tên-kâ-là-sén	Nusa Tenggara Barat
