ܐܦܪܝܩܐ	Afrika
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Georgia
ܣܩܠܝܐ	Sicilien
ܣܢ (ܢܗܪܐ)	Seine
ܛܘܩܝܘ	Tokyo prefektur
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Ferdinand Magellan
ܢܝܘ ܡܝܟܣܝܟܘ	New Mexico
ܐܬܢܘܣ	Aten
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdad
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Missouri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Nordsjön
ܒܝܝܢܐ	Wien
ܩܘܦܢܗܐܓܢ	Köpenhamn
ܣܛܘܩܗܘܠܡ	Stockholm
ܗܠܣܢܩܝ	Helsingfors
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bibeln
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	The True Jesus Church
ܠܫܢܐ ܐܢܓܠܝܐ	Engelska
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción, Chile
ܐܘܢܛܐܪܝܘ	Ontario
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Scotia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	New Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	British Columbia
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Prince Edward Island
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Newfoundland och Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Northwest Territories
ܝܘܩܘܢ	Yukon
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Mat
ܚܘܝܐ	Ormar
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Kemi
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Förintelsen
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
