ལྷོ་ཀོ་རི་ཡ།	Sydkorea
སིམ་བུ་སན།	Simpsons
ཨ་ཧྥུའུ་རྒན་སི་ཐན།	Afghanistan
བྷང་ལ་རྡེ་ཤུ།	Bangladesh
མ་ལི།	Mali
ཨང་གོ་ལ།	Angola
འབྲུག་ཡུལ།	Bhutan
བྷི་རུ་ནི།	Brunei
ཏན་ཛ་ནི་ཡ།	Tanzania
ཧྥི་ལི་པིན།	Filippinerna
དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	Centralafrikanska republiken
སེར་པོ།	Gul
ཊོ་གོ	Togo
ཏུ་ནི་ཤི་ཡ།	Tunisien
ཛམ་བི་ཡ།	Zambia
ཛིམ་བབ་ཝི།	Zimbabwe
པེ་ཅིང་གྲོང་ཁྱེར།	Peking
བེ་ནིན།	Benin
བྷོ་ཙི་ཝ་ན།	Botswana
བུར་ཀི་ན་ཕ་སོ།	Burkina Faso
བུ་རུན་ཌི།	Burundi
ཁོ་མོ་རོ་སུ།	Komorerna
ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Kongo-Brazzaville
ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	Kongo-Kinshasa
ཇི་བའོ་ཊི།	Djibouti
ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	Ekvatorialguinea
ཨི་རི་ཏྲའ།	Eritrea
ནེའུ་དིལ་ལི།	New Delhi
ཁྲེ་བྷི་ལི་སི།	Tbilisi
གེ་བོན།	Gabon
གེམ་བྷི་ཡ།	Gambia
གི་ནེ།	Guinea
གི་ནེ་-བི་སའོ།	Guinea-Bissau
ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	Elfenbenskusten
ཁམ་མུ་རོན།	Kamerun
ཁེབ་ཝར་ཌི།	Kap Verde
ལི་སོ་ཐོ།	Lesotho
ལི་བེ་རི་ཡ།	Liberia
ལི་པི་ཡ།	Libyen
མ་ད་གཱ་སི་ཀར།	Madagaskar
མ་ལ་ཝི།	Malawi
མའུ་རི་ཏ་ནི་ཡ།	Mauretanien
མའུ་རི་ཊིའུ་སུ།	Mauritius
མོ་རོ་ཁོ།	Marocko
མོ་ཛམ་བིཀ།	Moçambique
ན་མི་བྷི་ཡ།	Namibia
ནི་ཇར།	Niger
ནི་ཇི་རི་ཡ།	Nigeria
ཨུ་གན་ད།	Uganda
རུ་ཝན་ཌ།	Rwanda
སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	São Tomé och Príncipe
སི་ནི་གཱལ།	Senegal
སེ་ཞེལ།	Seychellerna
སི་ར་ལེ་ཨོན།	Sierra Leone
སོ་མ་ལི།	Somalia
ཡིའུ་ལི་ཝུའུ་སི་ཁའེ་ས།	Julius Caesar
སུའུ་ཏན།	Sudan
སུ་ཝ་ཛི་ལནཌ།	Swaziland
འཇའ།	Regnbåge
གྷུ་ཇ་རཱཏ།	Gujarat
མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	Förenta nationerna
ཏན་ཐེ།	Dante Alighieri
ས་ཁམས་རིག་པ།	Geografi
པུ་ལ་ཁེ།	Prag
སྔོན་པོ།	Blå
འབོམ་སྦེ	Bombay
ཨཱན་དྷ་ར་མངའ་སྡེ།	Andhra Pradesh
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Arunachal Pradesh
ཨཱསཱམ།	Assam
སྦི་ཧཱར།	Bihar
མི་ཅི་གྷན།	Michigan
ཆར་ཊི་སི་གྷར།	Chhattisgarh
གྷོའ།	Goa
ཧ་རི་ཡཱ་ཎཱ།	Haryana
ཧི་མ་ཅལ་མངའ་སྡེ།	Himachal Pradesh
ཇ་མུ་དང་ཀ་ཤི་མིར།	Jammu och Kashmir
རྗར་ཁན་ཌི།	Jharkhand
ཁར་ན་ཀྲ་ཁཱ།	Karnataka
ཀེ་ར་ལཱ།	Kerala
མཱ་ནི་པུར།	Manipur
མོན་ཏཱ་ན།	Montana
ཝ་ཡོ་མིང་།	Wyoming
ཇེ་རུ་ས་ལེམ།	Jerusalem
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Washington (delstat)
ནེ་བ་ད།	Nevada
ཏོན་གཙང་པོ།	Don (flod)
ཝེ་ནེ་ཏོ།	Veneto
ཁོ་སོ་ཝོ།	Kosovo
ཁོ་ལོ་ར་ཌོ།	Colorado
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Coloradofloden
Category:རིགས།	Kategori:Topp
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Blaise Pascal
མཆོང་སྒྲིག་མིག་མངས།	Damspel
དགུན་ཁ།	Vinter
དཔྱིད།	Vår
དབྱར་ཁ།	Sommar
སྟོན་ཁ།	Höst
སེ་པན་སྐད།	Spanska
མཱོན་ཊི་ཝི་ཌོ།	Montevideo
ཀ་ལི་ཀུ་ཏ	Calcutta
དྷ་ཁ།	Dhaka
ཨི་སི་ལམ་བོ།	Islamabad
ཤིང་ཏོག	Frukt
དངུལ་ལོར།	Pengar
ཝིར་ཇི་ནི་ཡ།	Virginia
མ་རིས་ལེན་ཌ།	Maryland
དྷེའི་ལ་ཝར།	Delaware
ལེ་ཉིན།	Vladimir Lenin
ཨོ་ཧེའོ།	Ohio
བིར་སྒྲེལ།	Vergilius
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Pennsylvania
པོ་ཅ་ཆུའུ།	Giovanni Boccaccio
ཨའོ་ཀུའུ་སི་ཏུའུ།	Augustus
ནེའུ་ཇེར་སས།	New Jersey
ཨིན་ཌི་ཡཱ་ན།	Indiana
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Georgia
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Marcus Aurelius
ཛག་རེབ།	Zagreb
ཋེག་ཟ་སི།	Texas
ཏཱ་མིལ་ན་ཌུ།	Tamil Nadu
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	South Carolina
སི་ཅི་ལི་ཡ།	Sicilien
མ་ནི་ལ།	Manila
ལུའུ་ཝར་གཙང་པོ།	Loire
སེ་ན་གཙང་པོ།	Seine
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Buenos Aires
མེག་སི་ཀོ་གྲོང་།	Mexico City
ཐོ་ཁེ་ཡོ།	Tokyo prefektur
བྷར་སེ་ལོ་ནཱ།	Barcelona
ཐང་འབྲས།	Ananas
མི་སི་སི་ཕི།	Mississippi
མི་སི་སི་ཕི་གཙང་པོ།	Mississippifloden
འབྲས་ལྗོངས།	Sikkim
ཐེན་ནེ་སི།	Tennessee
ཨ་པོའུ་དྷ་པེ།	Abu Dhabi
ཨ་སི་ཐ་ན།	Astana
མེག་སི་ཀོ་གསར་མ།	New Mexico
ཨ་ཐེན།	Aten
པ་ག་ཏ	Bagdad
ཁ་ར་ཁ་སི	Caracas
ཝིས་སི་ཁོན་སིན།	Wisconsin
ཡོ་བ།	Iowa
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Guatemala City
ཁན་སཱ་སི།	Kansas
ཧ་ཝན	Havanna
རྒྱ་གར་སྐད།	Hindi
ཤོག་དྲིལ་དུ་བ།	Cigarett
ཚོགས་བདག	Ganesha
ལུའི་ཟི་ཨཱན་ནཱ།	Louisiana
ཨར་ཁན་སཱ་སི།	Arkansas
ཕའི་ཆིའུ་སྤོ་ལོ།	Volleyboll
ཝི་ཨེ་ན།	Wien
ཁོ་ཕེན་ཧ་ཀེན།	Köpenhamn
སི་ཏོག་ཧོ་ལིམ།	Stockholm
ཧེལ་སིན་ཀི།	Helsingfors
དུབ་ལིན།	Dublin
རེཀ་ཇ་བིཀ།	Reykjavik
ཏཱལ་་ལིན།	Tallinn
རི་ག	Riga
བ་ར་ཏིསི་ལ་བ།	Bratislava
བུ་ད་ཕེ་སིད།	Budapest
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	Luxemburg (stad)
བ་དུ་ཛི།	Vaduz
གསུང་རབ།	Bibeln
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	San Marino (stad)
ཕོམ་ཕེན།	Phnom Penh
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	Ho Chi Minh-staden
ཧེ་ནོ།	Hanoi
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	The True Jesus Church
དབྱིན་ཇིའི་སྐད།	Engelska
པན་ཀོག	Bangkok
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	Andorra la Vella
ཁལ་ལུང་ཕུ།	Kuala Lumpur
ཐའེ་པེ	Taipei
ཕྱི་འབྲིལ།	Diplomati
ཀིབ།	Kiev
ཨོ་ཏ་ཝ།	Ottawa
ཡེ་རེ་ཝན།	Jerevan
ཏ་རེ་སི་ས་ལམ།	Dar es-Salaam
ཁར་ཏུམ།	Khartoum
༢༠༠༩	2009
ཝེ་རོ་ན།	Verona
ཧྥུ་ལོ་རོན་ཟིའུ་ཡ།	Florens
ཨེ་ཏི་མོན་ཐོན།	Edmonton
སྦྲུལ།	Ormar
ཁ་ཐོག་གི་ཆགས་སྦྱོར།	Oralsex
ལུའོ་མུའུ་ལུའོ་སི་དང་རུའེ་མོ་སི།	Romulus och Remus
