ਅਫ਼ਰੀਕਾ	Afrika
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬ੍ਰਾਜ਼ੀਲ	Mall:Kartposition Brasilien
ਪੀਰੇਨੇ	Pyrenéerna
ਡਿਟਰਾਇਟ, ਮਿਸ਼ੀਗਨ	Detroit
ਕੌਮਾਂਤਰੀ ਇਕਾਈ ਢਾਂਚਾ	Internationella måttenhetssystemet
ਬੁਰਜ ਖ਼ਲੀਫ਼ਾ	Burj Khalifa
ਚੀਨ ਦੀ ਮਹਾਨ ਦੀਵਾਰ	Kinesiska muren
ਪੂਰਨ ਸੰਖਿਆ	Heltal
ਆਈਆ ਸੋਫ਼ੀਆ	Hagia Sofia
ਪਿਰਾਮਿਡ	Pyramid
ਬਿਜ਼ਾਨਤਿਨ ਸਲਤਨਤ	Bysantinska riket
ਸਲੀਬੀ ਜੰਗਾਂ	Korståg
ਮੰਗੋਲ ਸਾਮਰਾਜ	Mongolväldet
ਸਲਤਨਤ ਉਸਮਾਨੀਆ	Osmanska riket
ਪ੍ਰੋਟੈਸਟੈਂਟ ਪੁਨਰਗਠਨ	Reformationen
ਲਾਤੀਨੀ ਅਮਰੀਕਾ	Latinamerika
ਮੈਕਸੀਕੋ ਦੀ ਖਾੜੀ	Mexikanska golfen
ਕੁੱਲ ਘਰੇਲੂ ਪੈਦਾਵਾਰ	Bruttonationalprodukt
ਕੈਲੀਗ੍ਰਾਫੀ	Kalligrafi
ਮੈਕਸਿਮ ਗੋਰਕੀ	Maksim Gorkij
ਬਿਜਲੀ	Elektricitet
ਪਥਰਾਟੀ ਬਾਲਣ	Fossila bränslen
ਭਾਫ਼ ਦਾ ਇੰਜਣ	Ångmaskin
ਨਿਊਕਲੀ ਬੰਬ	Kärnvapen
ਅਬੈਕਸ	Abakus
ਉਮਬੇਰਤੋ ਈਕੋ	Umberto Eco
ਇਬੇਰੀਆਈ ਟਾਪੂਨੁਮਾ	Pyreneiska halvön
ਪਾਉਲੋ ਕੋਇਲੋ	Paulo Coelho
ਪੇਲੇ (ਖਿਡਾਰੀ)	Pelé
ਮਾਜੁਰੋ	Majuro
ਮਾਰੀਨ ਲ ਪੈਨ	Marine Le Pen
ਸਵਾਤੀ ਤਾਰਾ	Arcturus
ਵਿਨੋਬਾ ਭਾਵੇ	Vinoba Bhave
ਬਲਾਟਰਿਕਸ	Bellatrix
ਨਿਊਕਲੀ ਮੇਲ	Fusion
ਕਰਤੁ	Dubhe
ਅੰਗਿਰਸ	Alioth
ਪੁਲਸਤਯ	Merak
ਖੋਪੜੀ	Kranium
ਸਟਰਾਬਰੀ	Jordgubbe
ਮਾਸਕੋ ਸਟੇਟ ਯੂਨੀਵਰਸਿਟੀ	Moskvauniversitetet
ਫੋਮਾਲਹਾਊਟ ਤਾਰਾ	Fomalhaut
ਮਿਤਰਕ ਤਾਰਾ	Beta Centauri
ਮੁਨੱਕਾ	Russin
ਨਾਰੀਅਲ	Kokospalm
ਅਨਾਰ	Granatäpple
ਆੜੂ	Persika
ਸੰਤਰਾ	Apelsin
ਰੋਮਾਨੀ ਭਾਸ਼ਾ	Romani
ਕੋਸਾ ਭਾਸ਼ਾ	Xhosa
ਫਰਦੀਨਾ ਦ ਸੌਸਿਊਰ	Ferdinand de Saussure
ਆਈਸ ਕਰੀਮ	Glass
ਉਇਗ਼ੁਰ ਭਾਸ਼ਾ	Uiguriska
ਸਿੰਹਾਲਾ ਭਾਸ਼ਾ	Singalesiska
ਕੇਕ	Kaka
ਮਾਂਟਸਰਾਤ	Montserrat
ਹਾਰਵਰਡ ਯੂਨੀਵਰਸਿਟੀ	Harvard University
ਬਸ਼ਕੀਰ ਭਾਸ਼ਾ	Basjkiriska
ਓਨੀਗਿਰੀ	Onigiri
ਕ੍ਰਿਤੀਕਾ	Plejaderna (stjärnhop)
ਅਲ ਜਜ਼ੀਰਾ	Al-Jazira
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਰੀਨਲੈਂਡ	Mall:Kartposition Grönland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੈਨੇਡਾ	Mall:Kartposition Kanada
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੇਲੀਜ਼	Mall:Kartposition Belize
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹਾਂਡੂਰਾਸ	Mall:Kartposition Honduras
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਸਤਾ ਰੀਕਾ	Mall:Kartposition Costa Rica
ਫਰਮਾ:ਨਕਸ਼ਾ ਸਥਿਤੀ ਕਿਊਬਾ	Mall:Kartposition Kuba
ਐਂਜਲੀਨਾ ਜੋਲੀ	Angelina Jolie
ਈਲ-ਡ-ਫ਼ਰਾਂਸ	Île-de-France
ਏਡਰੀਆਟਿਕ ਸਮੁੰਦਰ	Adriatiska havet
ਸੌਂਤਰ	Centre-Val de Loire
ਪਿਕਾਰਡੀ	Picardie
ਅਰਬੀ ਭਾਸ਼ਾ	Arabiska
ਕਾਪਾ ਓਰਾਔਨਿਸ	Saiph
ਆਈਪੌਡ ਟੱਚ	Ipod Touch
ਸ਼ਾਂਪੇਨ-ਆਰਦਨ	Champagne-Ardenne
ਕਾਰਸਿਕਾ	Korsika
OS X	OS X
ਅਫ਼ਰੀਕਾਂਸ ਭਾਸ਼ਾ	Afrikaans
ਪ੍ਰਧਾਨ ਮੰਤਰੀ	Premiärminister
ਸਾਂਤੀਆਗੋ ਦੇ ਕੋਮਪੋਸਤੇਲਾ	Santiago de Compostela
ਓਬੀਐਦੋ	Oviedo
ਬੀਟਾ	Beta
ਗਾਮਾ	Gamma
ਸਟੈਗੋਸੌਰਸ	Stegosaurus
ਡੈਲਟਾ (ਅੱਖਰ)	Delta
ਐਪਸੀਲੋਨ	Epsilon
ਜ਼ੀਟਾ	Zeta
ਈਟਾ	Eta
ਥੀਟਾ	Theta
ਆਓਟਾ	Jota
ਕਾਪਾ	Kappa (bokstav)
ਨਿਊ (ਅੱਖਰ)	Ny
ਕਸੀ (ਅੱਖਰ)	Xi
ਜ਼ੁਰਿਕ ਝੀਲ	Zürichsjön
ਓਮੀਕ੍ਰੋਨ	Omikron
ਰੋ	Rho
ਸਿਗਮਾ	Sigma
ਟਾਓ	Tau
ਉਪਸੀਲੋਨ	Ypsilon
ਕਾਈ	Chi
ਸਾਈ (ਅੱਖਰ)	Psi
ਈਸਟਰ ਟਾਪੂ	Påskön
ਥੋਹਰ	Kaktusväxter
ਲਿਨਕਸ ਕਰਨਲ	Linux (kärna)
ਪ੍ਰਕਾਸ਼ ਵਿਗਿਆਨ	Optik
ਸਨ ਮਾਈਕ੍ਰੋਸਿਸਟਮਸ	Sun Microsystems
ਘਰੇਲੂ ਚਿੜੀ	Gråsparv
ਫ਼ਿਨਲੈਂਡ ਦੀ ਖਾੜੀ	Finska viken
ਫ਼ਰਨੀਚਰ	Möbel
ਮੇਜ਼	Bord
ਮਕਾਉ	Macao
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਰਾਕੋ	Mall:Kartposition Marocko
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅਲਜੀਰੀਆ	Mall:Kartposition Algeriet
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤੁਨੀਸੀਆ	Mall:Kartposition Tunisien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲੀਬੀਆ	Mall:Kartposition Libyen
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਿਸਰ	Mall:Kartposition Egypten
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਚਾਡ	Mall:Kartposition Tchad
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੁਡਾਨ	Mall:Kartposition Sudan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਥੋਪੀਆ	Mall:Kartposition Etiopien
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੋਮਾਲੀਆ	Mall:Kartposition Somalia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੇਨੇਗਲ	Mall:Kartposition Senegal
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਾਂਬੀਆ	Mall:Kartposition Gambia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਿਏਰਾ ਲਿਓਨ	Mall:Kartposition Sierra Leone
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਦੰਦ ਖੰਡ ਤਟ	Mall:Kartposition Elfenbenskusten
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Mall:Kartposition Burkina Faso
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੈਮਰੂਨ	Mall:Kartposition Kamerun
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Mall:Kartposition Kongo-Kinshasa
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੀਨੀਆ	Mall:Kartposition Kenya
ਫਰਮਾ:Location map ਤਨਜ਼ਾਨੀਆ	Mall:Kartposition Tanzania
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅੰਗੋਲਾ	Mall:Kartposition Angola
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੋਤਸਵਾਨਾ	Mall:Kartposition Botswana
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਾਦਾਗਾਸਕਰ	Mall:Kartposition Madagaskar
ਕੁਰਸੀ	Stol
ਅੰਤਰਾਸ਼ਟਰੀ ਮਿਆਰੀਕਰਣ ਸੰਘ	Internationella standardiseringsorganisationen
ਸ਼ੀ ਚਿਨਪਿੰਙ	Xi Jinping
ਜਿਰਾਫ਼	Giraff
ਕੁਐਂਕਾ	Cuenca, Spanien
ਪ੍ਰੋਵਾਂਸ-ਆਲਪ-ਅਸਮਾਨੀ ਤਟ	Provence-Alpes-Côte d'Azur
ਸ਼ੈਨਜ਼ੈਨ	Shenzhen
ਸੋਵੀਅਤ ਯੂਨੀਅਨ	Sovjetunionen
ਅਨੰਤਪੁਰ ਜ਼ਿਲਾ	Anantapur (distrikt)
ਪੇਪੜੀ (ਭੋਂ ਵਿਗਿਆਨ)	Jordskorpa
ਪਿਘਲਣ ਦਰਜਾ	Smältpunkt
ਕੈਮਰਾ	Kamera
ਪੂਰਬ ਗੋਦਾਵਰੀ ਜ਼ਿਲਾ	East Godavari (distrikt)
ਨੇੱਲੋਰ ਜ਼ਿਲਾ	Sri Potti Sriramulu Nellore
ਨਲਗੋਂਡਾ ਜ਼ਿਲਾ	Nalgonda (distrikt)
ਪ੍ਰਕਾਸਮ ਜ਼ਿਲਾ	Prakasam
ਪੱਛਮ ਗੋਦਾਵਰੀ ਜ਼ਿਲਾ	West Godavari
ਜਾਰਵਿਸ ਖਾੜੀ ਰਾਜਖੇਤਰ	Jervis Bay Territory
ਕਾਥੇਰੇਸ, ਸਪੇਨ	Cáceres
ਸੇਗੋਵੀਆ	Segovia
ਆਵੀਲਾ, ਸਪੇਨ	Ávila
ਸਾਲਾਮਾਨਕਾ	Salamanca, Spanien
ਅਨਾਪਾ	Anapa
ਸੀ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	C (programspråk)
ਬਾਈਆਨ ਮੁਨਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	FC Bayern München
ਪੈਰ	Fot
ਏਮੀਲ ਦੁਰਖਿਮ	Émile Durkheim
ਮੋਨਤੈਸਕੀਉ	Charles-Louis de Secondat Montesquieu
ਬੇ (ਸਿਰਿਲਿਕ)	Б
ਆ (ਸਿਰਿਲਿਕ)	А
ਗੇ (ਸਿਰਿਲਿਕ)	Г
ਡੇ (ਸਿਰਿਲਿਕ)	Д
ਵੇ (ਸਿਰਿਲਿਕ)	В
ਉੱਪਰ ਨੂੰ ਮੁੜਿਆ ਗੇ (ਸਿਰਿਲਿਕ)	Ґ
ਮਿਦੀ-ਪੀਰੇਨੇ	Midi-Pyrénées
ਫ਼ਰਾਂਸ਼-ਕੋਂਤੇ	Franche-Comté
ਬਰੂਸ-ਲੀ	Bruce Lee
ਫਰਮਾ:Link FA	Mall:Link FA
ਬੂਸਾਨ	Pusan
ਵਰਮਾਂਟ	Vermont
ਸਾਨ ਦੀਏਗੋ	San Diego
ਸਾਨ ਹੋਜ਼ੇ, ਕੈਲੀਫ਼ੋਰਨੀਆ	San Jose, Kalifornien
ਡੈਨਵਰ	Denver
ਹੂਸਟਨ	Houston
ਫ਼ੀਨਿਕਸ	Phoenix
ਡਾਲਸ	Dallas
ਫ਼ੋਰਟ ਵਰਥ	Fort Worth
ਆਸਟਿਨ, ਟੈਕਸਸ	Austin
ਸ਼ਾਰਲਟ, ਉੱਤਰੀ ਕੈਰੋਲੀਨਾ	Charlotte, North Carolina
ਕਲੰਬਸ, ਓਹਾਇਓ	Columbus, Ohio
ਜੈਕਸਨਵਿਲ, ਫ਼ਲੌਰਿਡਾ	Jacksonville, Florida
ਗੁਆਂਗਜ਼ੂ	Guangzhou
ਗੁਆਮ	Guam
ਅਮਰੀਕੀ ਸਮੋਆ	Amerikanska Samoa
ਉੱਤਰੀ ਮਰੀਆਨਾ ਟਾਪੂ	Nordmarianerna
ਨਾਨਜਿੰਗ	Nanjing
ਐਡਗਰ ਐਲਨ ਪੋ	Edgar Allan Poe
ਕੁਸਤੁਨਤੁਨੀਆ	Konstantinopel
ਹਸਪਤਾਲ	Sjukhus
ਹੇਠਲੀ ਨੋਰਮਾਂਦੀ	Basse-Normandie
ਉਰੂਮਕੀ	Ürümqi
ਉਤਲੀ ਨੋਰਮਾਂਦੀ	Haute-Normandie
ਗਿਰਜਾ	Kyrka
ਉੱਤਰ-ਕਾਲੇ ਦਾ ਪਣਜੋੜ	Nord-Pas-de-Calais
ਪੇ ਡ ਲਾ ਲੁਆਰ	Pays de la Loire
ਲਾਂਗਡੋਕ-ਰੂਸੀਓਨ	Languedoc-Roussillon
ਪੋਆਤੂ-ਸ਼ਾਰੌਂਤ	Poitou-Charentes
ਗੁਆਡਲੂਪ	Guadeloupe
ਮਾਰਟੀਨੀਕ	Martinique
ਮੈਯੋਤ	Mayotte
ਰੇਊਨੀਓਂ	Réunion
ਬੈਕਸਟਰੀਟ ਬੌਇਜ਼	Backstreet Boys
ਬਾਰਸੀਲੋਨਾ ਵੱਡਾ ਗਿਰਜਾਘਰ	Katedralen i Barcelona
ਰੋਮਨ ਗਣਤੰਤਰ	Romerska republiken
ਜਿਓਵਾਨੀ ਬੇਲੀਨੀ	Giovanni Bellini
ਫ਼ਿਲਪੀਨੀ ਪੀਸੋ	Filippinsk peso
ਤਿੱਬਤ	Tibet
ਮਾਫੀਆ (ਪਾਰਟੀ ਖੇਡ)	Maffia (spel)
ਚੱਕਰ	Cirkel
14ਵੇਂ ਦਲਾਈ ਲਾਮਾ	Tenzin Gyatso
ਚੀਨ ਦੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	Kinas kommunistiska parti
ਮੋਬਾਈਲ ਫ਼ੋਨ	Mobiltelefoni
ਸਟੀਵਨ ਹਾਕਿੰਗ	Stephen Hawking
ਸਿਧਾਂਤ	Teori
ਅਰਾਗਤਸੋਤਨ	Aragatsotn
ਸੈਕਰਾਮੈਂਟੋ, ਕੈਲੀਫ਼ੋਰਨੀਆ	Sacramento
ਐਦੂਆਰਦ ਉਸਪੇਂਸਕੀ	Eduard Uspenskij
੧੯੨੫	1925
੧੯੨੭	1927
ਮਾਨਚੈਸਟਰ	Manchester
ਤੁਰਕ ਅਤੇ ਕੇਕੋਸ ਟਾਪੂ	Turks- och Caicosöarna
ਫੈਲਾਉ	Strålning
ਮਿਆਰੀ ਨਮੂਨਾ	Standardmodellen
ਸਿਧਾਂਤਕ ਭੌਤਿਕ ਵਿਗਿਆਨ	Teoretisk fysik
ਨਿਊ ਇੰਗਲੈਂਡ	New England
ਬਰਥਾ ਵੌਨ ਸੁੱਟਨਰ	Bertha von Suttner
ਸ਼ੈਫ਼ੀਲਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	Sheffield FC
ਬਘਿਆੜ	Varg
ਰੂਪਕ-ਕਥਾ	Allegori
ਖਿੱਦੋ	Boll
ਡਗਲਸ, ਮੈਨ ਟਾਪੂ	Douglas, Isle of Man
1955	1955
1954	1954
੧੯੫੩	1953
੧੯੫੧	1951
੧੯੫੦	1950
੧੯੪੬	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
੧੯੩੬	1936
ਮੈਨਚੈਸਟਰ ਯੂਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	Manchester United FC
੧੯੩੫	1935
ਸਵਾਨਜ਼ੀ ਸਿਟੀ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Swansea City AFC
ਮਿਡਲਸਬਰੋ ਫੁੱਟਬਾਲ ਕਲੱਬ	Middlesbrough FC
ਕਾਰਡਿਫ਼ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Cardiff City FC
ਫ਼ੁਲਹਮ ਫੁੱਟਬਾਲ ਕਲੱਬ	Fulham FC
ਐਸਟਨ ਵਿਲਾ ਫੁੱਟਬਾਲ ਕਲੱਬ	Aston Villa FC
1934	1934
ਨਿਊਕੈਸਲ ਯੂਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	Newcastle United FC
ਨਾਰਵਿਚ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Norwich City FC
ਕਵੀਨਜ਼ ਪਾਰਕ ਰੇਂਜਰਜ਼ ਫੁੱਟਬਾਲ ਕਲੱਬ	Queens Park Rangers FC
੧੯੩੩	1933
ਰੀਡਿੰਗ ਫੁੱਟਬਾਲ ਕਲੱਬ	Reading FC
ਸਾਊਥਹੈਂਪਟਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Southampton FC
ਸਟੋਕ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Stoke City FC
ਸੰਡਰਲੈਂਡ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Sunderland AFC
ਟੌਟਨਹਮ ਹੌਟਸਪਰ ਫੁੱਟਬਾਲ ਕਲੱਬ	Tottenham Hotspur FC
1932	1932
ਵੈਸਟ ਬਰੌਮਿਚ ਐਲਬੀਅਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	West Bromwich Albion FC
ਵਿਗਨ ਅਥਲੈਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	Wigan Athletic FC
1931	1931
੧੯੩੦	1930
1929	1929
ਪਿਓਂਗਯਾਂਗ	Pyongyang
ਅਨਾਤੋਲੀ ਲੂਨਾਚਾਰਸਕੀ	Anatolij Lunatjarskij
ਜੀ ਪੀ ਐੱਸ	Global Positioning System
ਕਾਕਸ	Kaukasien
ਅਕਾਦਮੀ ਇਨਾਮ	Oscar
ਸੈਮੂਅਲ ਪੀ ਹੰਟਿੰਗਟਨ	Samuel P. Huntington
ਅਕੇਂਦਰੀ ਜੀਵ	Prokaryoter
ਸੁਕੇਂਦਰੀ ਜੀਵ	Eukaryoter
ਬਿੱਛੂ	Skorpioner
ਜਾਰਜ ਬਰਨਾਰਡ ਸ਼ਾ	George Bernard Shaw
ਫੀਫਾ ਵਿਸ਼ਵ ਕੱਪ	Världsmästerskapet i fotboll
ਬਰਮਿੰਘਮ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Birmingham City FC
ਬਲੈਕਬਰਨ ਰੋਵਾਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Blackburn Rovers FC
ਬਲੈਕਪੂਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Blackpool FC
ਬੋਲਟਨ ਵਾਨਦੇਰੇਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Bolton Wanderers FC
ਬ੍ਰਾਇਟਨ ਅਤੇ ਹੋਵ ਐਲਬੀਅਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Brighton & Hove Albion FC
ਬਰਨਲੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Burnley FC
ਚਾਰਲਟਨ ਅਥਲੈਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	Charlton Athletic FC
ਕ੍ਰਿਸਟਲ ਪੈਲਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Crystal Palace FC
ਡਰਬੀ ਕਾਊਂਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Derby County FC
ਹਡਰਜ਼ਫ਼ੀਲਡ ਟਾਊਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Huddersfield Town FC
ਹਲ਼ ਸਿਟੀ ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	Hull City AFC
ਲੈਸਟਰ ਸਿਟੀ ਫੁੱਟਬਾਲ ਕਲੱਬ	Leicester City FC
ਮਿੱਲਵਾਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	Millwall FC
ਨੌਟਿੰਘਮ ਫ਼ਾਰਸਟ ਫੁੱਟਬਾਲ ਕਲੱਬ	Nottingham Forest FC
ਸ਼ੈਫ਼ੀਲਡ ਵੈੱਡਨਸਡੇ ਫੁੱਟਬਾਲ ਕਲੱਬ	Sheffield Wednesday FC
ਵੁਲਵਰਹੈਂਪਟਨ ਵਾਨਦੇਰੇਰਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	Wolverhampton Wanderers FC
ਲੀਲ ਓਲੰਪੀਕ	Lille OSC
ਸੰਤ-ਏਤੀਐੱਨ ਫੁੱਟਬਾਲ ਕਲੱਬ	AS Saint-Étienne
ਮਾਇਆ ਐਂਜਲੋ	Maya Angelou
ਐਸੋਸੀਏਸ਼ਨ ਫੁੱਟਬਾਲ ਕਲੱਬ ਬੋਰਨਮਥ	AFC Bournemouth
ਬਰੈਂਟਫ਼ੋਰਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	Brentford FC
ਗੋਰੀ	Gori
ਕੈੱਲਟਿਕ ਫੁੱਟਬਾਲ ਕਲੱਬ	Celtic FC
ਧਾਤਨੁਮਾ	Halvmetall
ਰੇਂਜਰਜ਼ ਫੁੱਟਬਾਲ ਕਲੱਬ	Rangers FC
ਅਧਾਤ	Icke-metall
ਐਫ. ਸੀ. ਤਵੇਨਤੇ	FC Twente
ਨੋਬਲ ਗੈਸ	Ädelgas
੫	5
੪	4
3	3
੨	2
ਬੁਖ਼ਾਰੈਸਟ	Bukarest
ਅਲ ਗੋਰ	Al Gore
ਲੂਵਰ ਅਜਾਇਬਘਰ	Louvren
ਥੇਮਜ਼ ਦਰਿਆ	Themsen
ਤਿਰਾਨਾ	Tirana
ਵੇਈ ਨਦੀ	Wye
੧੯੨੮	1928
ਜੀ-20	G20
ਪੁਰਾਣਾ ਨੇਮ	Gamla Testamentet
ਕ੍ਰਿਸਮਸ	Jul
ਰੋਮਾਂਸ ਭਾਸ਼ਾਵਾਂ	Romanska språk
ਤਿਕੋਨ	Triangel
ਲੀਪ ਸਾਲ	Skottår
ਸਟੀਵ ਜੌਬਜ਼	Steve Jobs
ਲੇਡੀ ਗਾਗਾ	Lady Gaga
ਹਿੰਦ-ਯੂਰਪੀ ਭਾਸ਼ਾ-ਪਰਵਾਰ	Indoeuropeiska språk
ਗੋਦੋ ਦੀ ਉਡੀਕ	I väntan på Godot
ਮੁਆਮਰ ਗੱਦਾਫ਼ੀ	Muammar al-Gaddafi
ਸ਼ੇਰ	Tiger
ਨੀਸਾਨ	Nissan (bilmärke)
ਸੈਮਸੰਗ	Samsung
ਇਨਚਨ	Inchon
ਸਕੈਂਡੀਨੇਵੀਆ	Skandinavien
ਕਿਸ਼ਨਾਓ	Chișinău
ਸਮਾਜ ਵਿਗਿਆਨ	Sociologi
ਅਰੂਬਾ	Aruba
ਕੌਮਾਂਤਰੀ ਧੁਨਾਤਮਕ ਵਰਨਮਾਲਾ	Internationella fonetiska alfabetet
ਓਡੀਸ਼ਾ	Odisha
ਪੰਜਾਬ, ਭਾਰਤ	Punjab (Indien)
ਸਮਾਰਟਫ਼ੋਨ	Smarttelefon
ਯਹੂਦੀ-ਵਿਰੋਧ	Antisemitism
ਕੱਚਾ ਤੇਲ	Petroleum
ਭੂਗੋਲਕ ਗੁਣਕ ਪ੍ਰਬੰਧ	Geografiska koordinatsystem
ਐਲਬੇ	Albé
ਬਹਾਈ ਧਰਮ	Bahá'í
ਬੈਂਕ	Bank
ਬੋਲਣ ਦੀ ਆਜ਼ਾਦੀ	Yttrandefrihet
ਮਰੂਆ	Mejram
ਪਾਰਕ	Park
ਗੁਫ਼ਾ ਦਾ ਰੂਪਕ	Platons grottliknelse
ਨੌਟਿੰਘਮਸ਼ਰ	Nottinghamshire
੧	1
ਲੂ ਸ਼ੁਨ	Lu Xun
ਬਰਿਸਟਲ	Bristol
ਅਬਖ਼ਾਜ਼ੀਆ	Abchazien
ਸਾਲਟ ਲੇਕ ਸਿਟੀ	Salt Lake City
ਅੱਠ	8 (tal)
ਬਰਫ਼	Is
ਝੀਲ	Insjö
ਲਸਣ	Vitlök
ਲਾਲ ਸਮੁੰਦਰ	Röda havet
ਖੀਰਾ	Gurka
ਦੱਖਣੀ ਓਸੈਤੀਆ	Sydossetien
ਉਲਾਨ ਬਤੋਰ	Ulan Bator
ਅਰਨੈਸਟ ਹੈਮਿੰਗਵੇ	Ernest Hemingway
ਐਡਿਨਬਰਾ	Edinburgh
ਅਸ਼ਗ਼ਾਬਾਤ	Asjchabad
ਟਾਪੂ	Ö (landområde)
ਚਿੱਟਾ	Vit
੪੭੬	476
ਮਾਰਸੇਈ	Marseille
ਟਮਾਟਰ	Tomat
ਬਾਲਕਨ	Balkanhalvön
ਸਲਾਵੀ ਭਾਸ਼ਾਵਾਂ	Slaviska språk
ਭੂ-ਮੱਧ ਰੇਖਾ	Ekvator
ਸੇਲੇਨ	Selena Quintanilla
ਨਾਸਾ	NASA
ਬੇਨੀਤੋ ਮੁਸੋਲੀਨੀ	Benito Mussolini
ਪਾਡਗੋਰਿਤਸਾ	Podgorica
ਗੇਮ ਆਫ਼ ਥਰੋਨਜ਼	Game of Thrones
500	500
੧੫੦	150
ਸ਼ਬਦਕੋਸ਼	Ordbok
ਐੱਚ.ਬੀ.ਓ.	HBO
ਬਰਮੂਡਾ	Bermuda
ਸਿਰ	Huvud
ਵੈਲਿੰਗਟਨ	Wellington
ਉੱਤਰੀ ਸਾਈਪ੍ਰਸ	Nordcypern
੧੨੦	120
ਕੌਮੀ ਗੀਤ	Nationalsång
ਰੋਵਨ ਐਟਕਿਨਸਨ	Rowan Atkinson
ਲਾਸ ਵੇਗਸ	Las Vegas
ਫ਼ਲਸਤੀਨੀ ਇਲਾਕੇ	Palestina
ਵਲੈਟਾ	Valletta
ਪਰਮਾਣੂ ਸੰਖਿਆ	Atomnummer
ਅਲਫ਼ਰੈਡ ਨੋਬਲ	Alfred Nobel
੨੦੦	200
ਜਾਰਜ ਤੀਮੋਥੀ ਕਲੂਨੀ	George Clooney
127	127
੧੦੪	104
102	102
100	100
